,#,participant_id,crystallised intelligence
0,1,sub-100307,195.54000000000002
1,2,sub-100610,279.0095
2,3,sub-101006,170.62272000000002
3,4,sub-101107,229.9456
4,5,sub-101309,214.05428
5,6,sub-102311,210.42000000000002
6,7,sub-102816,158.07999999999998
7,8,sub-103212,238.9352
8,9,sub-105923,227.7354
9,10,sub-106521,254.5294
10,11,sub-108222,240.125
11,12,sub-109123,239.8766
12,13,sub-112112,234.9885
13,14,sub-112920,223.2259
14,15,sub-113619,238.56
15,16,sub-113821,224.11
16,17,sub-114419,216.9759
17,18,sub-115825,147.72415
18,19,sub-117930,236.557
19,20,sub-118023,202.6524
20,21,sub-120515,193.27
21,22,sub-120717,236.8286
22,23,sub-122822,209.5312
23,24,sub-124422,163.13
24,25,sub-124826,237.31400000000002
25,26,sub-125424,219.4282
26,27,sub-126426,171.33965999999998
27,28,sub-128026,217.5994
28,29,sub-128632,194.31
29,30,sub-129028,230.73
30,31,sub-129331,256.1111
31,32,sub-132118,233.95999999999998
32,33,sub-134223,231.9854
33,34,sub-134425,239.77319999999997
34,35,sub-136126,214.58626
35,36,sub-136227,211.5312
36,37,sub-136732,185.60376000000002
37,38,sub-137532,174.17784
38,39,sub-137633,210.337
39,40,sub-138332,226.086
40,41,sub-139637,203.76
41,42,sub-140117,188.95
42,43,sub-140925,134.72
43,44,sub-141119,248.3819
44,45,sub-143224,237.4369
45,46,sub-143325,220.8
46,47,sub-143426,201.16802
47,48,sub-144125,169.15782000000002
48,49,sub-144428,210.76
49,50,sub-144731,260.8348
50,51,sub-145127,225.85039999999998
51,52,sub-146129,220.08089999999999
52,53,sub-146432,223.6187
53,54,sub-147030,233.45
54,55,sub-148335,246.11
55,56,sub-150524,211.23000000000002
56,57,sub-151728,239.16
57,58,sub-152831,256.6835
58,59,sub-153227,187.67844
59,60,sub-154835,193.92631
60,61,sub-155938,241.832
61,62,sub-156536,272.6792
62,63,sub-158136,211.78
63,64,sub-158540,236.49
64,65,sub-158843,217.8949
65,66,sub-159744,209.1064
66,67,sub-160729,205.44920000000002
67,68,sub-161327,149.76
68,69,sub-161630,232.66000000000003
69,70,sub-161731,229.73000000000002
70,71,sub-162228,218.3641
71,72,sub-162329,165.37
72,73,sub-163331,223.46390000000002
73,74,sub-166640,225.6687
74,75,sub-167036,200.04000000000002
75,76,sub-167238,204.47453
76,77,sub-167440,215.69080000000002
77,78,sub-167743,217.39
78,79,sub-168745,203.30545
79,80,sub-169444,235.7611
80,81,sub-171532,225.2557
81,82,sub-171633,194.83999999999997
82,83,sub-172029,207.8077
83,84,sub-174437,173.25
84,85,sub-175540,258.32
85,86,sub-175742,200.533
86,87,sub-176239,217.2986
87,88,sub-176441,240.814
88,89,sub-177645,228.98000000000002
89,90,sub-178748,201.82999999999998
90,91,sub-179548,159.08999999999997
91,92,sub-180533,204.25713000000002
92,93,sub-182032,209.25191
93,94,sub-182840,226.76999999999998
94,95,sub-183741,251.2346
95,96,sub-185442,252.7828
96,97,sub-186141,161.89999999999998
97,98,sub-189349,199.9
98,99,sub-191336,224.91000000000003
99,100,sub-191841,213.88
100,101,sub-192641,225.0027
101,102,sub-195445,236.1311
102,103,sub-195647,200.73000000000002
103,104,sub-196952,230.9337
104,105,sub-197651,213.7
105,106,sub-199655,192.82999999999998
106,107,sub-200109,212.6944
107,108,sub-200513,219.9723
108,109,sub-201515,244.1818
109,110,sub-202719,204.83035999999998
110,111,sub-202820,192.29789
111,112,sub-204218,184.46278
112,113,sub-204319,221.4631
113,114,sub-204521,198.67297000000002
114,115,sub-205220,231.81
115,116,sub-207426,190.42826
116,117,sub-208428,166.2
117,118,sub-209228,260.0994
118,119,sub-211114,154.11771
119,120,sub-211316,224.0474
120,121,sub-211922,181.00648
121,122,sub-212217,168.77
122,123,sub-212419,240.67
123,124,sub-214221,172.66
124,125,sub-220721,229.23770000000002
125,126,sub-223929,250.1454
126,127,sub-224022,226.60000000000002
127,128,sub-239944,207.41
128,129,sub-274542,179.37041
129,130,sub-285345,187.22565
130,131,sub-286347,271.25190000000003
131,132,sub-298455,186.19211
132,133,sub-299154,243.1918
133,134,sub-304727,189.17615
134,135,sub-308129,178.84569
135,136,sub-310621,227.5509
136,137,sub-321323,193.5661
137,138,sub-325129,241.4029
138,139,sub-333330,196.06605
139,140,sub-334635,226.65
140,141,sub-352132,227.89
141,142,sub-376247,230.0301
